date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-11-29 00:00:00+00:00,9.25,9.54,9.23,9.25,228619,9.25,9.54,9.23,9.25,228619,0.0,1.0
2023-11-30 00:00:00+00:00,9.16,9.39,9.13,9.25,566236,9.16,9.39,9.13,9.25,566236,0.0,1.0
2023-12-01 00:00:00+00:00,9.04,9.18,9.01,9.18,202743,9.04,9.18,9.01,9.18,202743,0.0,1.0
2023-12-04 00:00:00+00:00,8.33,9.13,8.3,9.09,604121,8.33,9.13,8.3,9.09,604121,0.0,1.0
2023-12-05 00:00:00+00:00,8.29,8.6599,8.15,8.33,338702,8.29,8.6599,8.15,8.33,338702,0.0,1.0
2023-12-06 00:00:00+00:00,8.39,8.5215,8.29,8.36,255952,8.39,8.5215,8.29,8.36,255952,0.0,1.0
2023-12-07 00:00:00+00:00,8.64,8.65,8.3281,8.42,183846,8.64,8.65,8.3281,8.42,183846,0.0,1.0
2023-12-08 00:00:00+00:00,8.66,8.68,8.54,8.66,172818,8.66,8.68,8.54,8.66,172818,0.0,1.0
2023-12-11 00:00:00+00:00,8.86,9.0188,8.65,8.66,233177,8.86,9.0188,8.65,8.66,233177,0.0,1.0
2023-12-12 00:00:00+00:00,9.17,9.19,8.82,8.92,215186,9.17,9.19,8.82,8.92,215186,0.0,1.0
2023-12-13 00:00:00+00:00,9.5,9.5,9.14,9.14,452178,9.5,9.5,9.14,9.14,452178,0.0,1.0
2023-12-14 00:00:00+00:00,10.14,10.23,9.42,9.42,506225,10.14,10.23,9.42,9.42,506225,0.0,1.0
2023-12-15 00:00:00+00:00,10.12,10.69,10.09,10.28,545269,10.12,10.69,10.09,10.28,545269,0.0,1.0
2023-12-18 00:00:00+00:00,10.32,10.46,10.07,10.12,316176,10.32,10.46,10.07,10.12,316176,0.0,1.0
2023-12-19 00:00:00+00:00,10.47,10.56,10.3,10.38,314759,10.47,10.56,10.3,10.38,314759,0.0,1.0
2023-12-20 00:00:00+00:00,10.46,10.6,10.37,10.42,221961,10.46,10.6,10.37,10.42,221961,0.0,1.0
2023-12-21 00:00:00+00:00,10.55,10.99,10.32,10.52,847070,10.55,10.99,10.32,10.52,847070,0.0,1.0
2023-12-22 00:00:00+00:00,10.64,10.74,10.4,10.65,355175,10.64,10.74,10.4,10.65,355175,0.0,1.0
2023-12-26 00:00:00+00:00,10.71,10.845,10.61,10.64,165688,10.71,10.845,10.61,10.64,165688,0.0,1.0
2023-12-27 00:00:00+00:00,10.77,11.0299,10.7,10.7,302570,10.77,11.0299,10.7,10.7,302570,0.0,1.0
2023-12-28 00:00:00+00:00,10.89,10.95,10.72,10.73,364311,10.89,10.95,10.72,10.73,364311,0.0,1.0
2023-12-29 00:00:00+00:00,10.89,10.97,10.72,10.88,417870,10.89,10.97,10.72,10.88,417870,0.0,1.0
